Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
f64a0850-5460-4d8b-9a7c-605bdd66c83b,2025-02-22 20:51:37,Running,,5.04,28:04,5:34,10.77,419.0,55,,"","",2025-02-22-205137.gpx
0dcec97e-0f2a-4cfc-a891-ca49f728f5b6,2025-02-19 20:50:45,Running,,6.15,32:19,5:15,11.43,514.0,99,,"","",2025-02-19-205045.gpx
fbed811e-2163-4c7e-8186-abc94c5b28bd,2025-02-17 21:07:03,Running,,6.47,36:04,5:35,10.76,562.0,131,,"","",2025-02-17-210703.gpx
4970e19a-8405-479b-81cb-d9d88116dea0,2025-02-13 20:54:06,Running,,4.01,23:21,5:49,10.30,344.0,58,,"","",2025-02-13-205406.gpx
7588b727-bbe5-4c80-98b4-beb6353b5a61,2025-02-11 22:00:20,Running,,5.01,28:06,5:36,10.71,415.0,37,,"","",2025-02-11-220020.gpx
8150e499-b0d3-4b19-bd8d-0fa5d31cc26c,2025-02-10 20:47:32,Running,,5.02,27:31,5:29,10.94,448.0,118,,"","",2025-02-10-204732.gpx
7bc3c673-4889-4a17-ac00-9df97ab8454a,2025-02-03 21:53:36,Running,,2.42,13:17,5:30,10.91,200.0,21,,"","",2025-02-03-215336.gpx
1700ad16-a3b1-4c51-aa8f-5aeac3ce4ca2,2025-01-31 19:37:42,Running,,5.44,33:04,6:05,9.87,458.0,58,,"","",2025-01-31-193742.gpx
97eb79da-1375-47bc-b180-9dfa2d048361,2025-01-24 20:52:14,Running,,5.01,27:49,5:33,10.81,421.0,52,,"","",2025-01-24-205214.gpx
a831bb8f-3226-4c05-8b6a-0e08d2cfbb20,2025-01-22 20:58:02,Running,,4.04,21:29,5:19,11.29,339.0,42,,"","",2025-01-22-205802.gpx
daed1437-50eb-46ad-9135-3db4e0f09231,2025-01-19 20:37:10,Running,,3.02,17:14,5:42,10.53,259.0,40,,"","",2025-01-19-203710.gpx
f7615245-aa38-4343-8868-4ab0dedcbe0e,2025-01-17 19:34:28,Running,,5.02,29:15,5:50,10.29,419.0,55,,"","",2025-01-17-193428.gpx
a4745321-d957-4221-8f33-d35af53d32cf,2025-01-16 20:48:29,Running,,4.13,24:31,5:56,10.10,347.0,44,,"","",2025-01-16-204829.gpx
bb16b55d-9490-49dc-b091-c43eef17964b,2025-01-14 21:01:16,Running,,3.01,17:09,5:41,10.54,255.0,37,,"","",2025-01-14-210116.gpx
0f3a8f71-50e9-42d1-9154-b6ba8ef0aee8,2025-01-13 21:29:04,Running,,3.11,17:15,5:33,10.82,254.0,19,,"","",2025-01-13-212904.gpx
83d7fdf1-7dce-4071-96f2-1fcf0c45c2c3,2025-01-12 21:35:26,Running,,3.01,16:02,5:20,11.27,247.0,16,,"","",2025-01-12-213526.gpx
2731db7f-3f20-47ee-8b6c-41b6bd888810,2025-01-09 20:12:34,Walking,,5.03,48:22,9:37,6.24,314.0,50,,"","",2025-01-09-201234.gpx
9eca25f5-fcfa-4c1c-9b93-3e1dc1a66469,2025-01-04 21:57:44,Running,,3.01,18:06,6:01,9.98,269.0,77,,"","",2025-01-04-215744.gpx
4358ae56-117b-476b-a426-0fd5a3da11d5,2025-01-03 19:42:58,Running,,4.01,21:47,5:26,11.05,329.0,49,,"","",2025-01-03-194258.gpx
9d365af3-55fe-47fd-bbb9-edbae5bc4984,2024-12-31 11:04:13,Running,,2.05,10:04,4:54,12.24,160.0,20,,"","",2024-12-31-110413.gpx
217b8412-fa99-42e2-8d8f-7c4fafb3fae4,2024-12-29 20:45:13,Running,,3.01,15:51,5:16,11.41,247.0,32,,"","",2024-12-29-204513.gpx
75ac69e2-fd3c-4738-96be-f7f5fc9c4b41,2024-12-23 22:12:54,Running,,2.02,9:10,4:33,13.21,148.0,19,,"","",2024-12-23-221254.gpx
edf70b8b-ce36-49e2-8fee-169618a4cff6,2024-12-18 08:47:35,Running,,2.03,10:51,5:21,11.21,167.0,23,,"","",2024-12-18-084735.gpx
59c26f4d-ee17-43d3-a858-a1ef27f27572,2024-12-16 21:20:46,Running,,2.89,16:04,5:33,10.80,243.0,34,,"","",2024-12-16-212046.gpx
6ea797a4-8f3e-4e7f-8ff0-cc93e635f27a,2024-11-14 04:43:54,Running,,2.02,10:19,5:06,11.76,178.0,40,,"","",2024-11-14-044354.gpx
28f07b9a-fca6-410a-ba04-020c59c28a7d,2024-11-13 07:56:42,Running,,3.03,15:06,4:59,12.03,252.0,30,,"","",2024-11-13-075642.gpx
15697bd0-28f5-4b69-a91a-5c611ef9af13,2024-11-11 07:57:32,Running,,2.01,8:52,4:25,13.60,166.0,29,,"","",2024-11-11-075732.gpx
1e670f1f-c860-4ed1-93b6-c98755eb5422,2024-11-10 21:35:46,Running,,3.14,14:40,4:40,12.84,254.0,33,,"","",2024-11-10-213546.gpx
017dbca2-5115-4bfc-aff4-2e2e72be48c9,2024-11-10 17:04:49,Running,,1.21,9:24,7:47,7.70,91.0,11,,"","",2024-11-10-170449.gpx
dd158ee9-dab9-4106-9205-4eb7ad839d83,2024-11-06 20:24:06,Running,,3.01,14:03,4:40,12.87,241.0,12,,"","",2024-11-06-202406.gpx
b5f63a50-78fa-4377-b8c0-6a05d8875f7b,2024-11-02 21:22:14,Running,,3.02,14:29,4:48,12.50,250.0,30,,"","",2024-11-02-212214.gpx
32aeabd4-c42b-4902-b428-e04dfaf5e1f1,2024-10-31 21:05:11,Running,,3.02,14:44,4:53,12.29,246.0,30,,"","",2024-10-31-210511.gpx
83ef54b3-61a0-4454-a410-6deb8cc5a54e,2024-10-30 19:51:06,Running,,3.14,15:25,4:54,12.23,258.0,34,,"","",2024-10-30-195106.gpx
aac84c2b-6b12-43fb-a6db-efe4dc59825d,2024-10-29 06:50:47,Running,,3.01,14:55,4:57,12.10,248.0,30,,"","",2024-10-29-065047.gpx
35c232e0-8ef3-4195-8767-1cf0a4c79ff9,2024-10-28 07:46:41,Running,,3.01,14:37,4:51,12.36,251.0,31,,"","",2024-10-28-074641.gpx
ae7febe9-5f61-4912-853d-7cb151ad4238,2024-10-24 20:40:14,Running,,3.04,15:30,5:06,11.77,249.0,28,,"","",2024-10-24-204014.gpx
ab2139c6-146e-4358-85df-1e3743f4d72d,2024-10-22 20:17:24,Running,,2.02,10:43,5:18,11.32,170.0,24,,"","",2024-10-22-201724.gpx
62350d84-3e28-4eab-a2da-6314c6056cbf,2024-10-21 21:17:07,Running,,4.01,20:59,5:14,11.47,329.0,26,,"","",2024-10-21-211707.gpx
e9db8f44-2bb0-443f-a027-192a9db9c47a,2024-10-20 08:13:53,Running,,3.10,15:44,5:05,11.81,254.0,29,,"","",2024-10-20-081353.gpx
7d34de8a-9298-41a8-b978-29f92266db0f,2024-10-17 19:53:55,Running,,3.09,16:36,5:22,11.17,258.0,31,,"","",2024-10-17-195355.gpx
35cbffc5-a052-4013-9fa8-99d190715d08,2024-10-16 07:56:56,Running,,3.04,15:58,5:15,11.42,253.0,31,,"","",2024-10-16-075656.gpx
b12ba066-a4bf-4ce3-a375-027b1fa4d41c,2024-10-15 16:57:04,Running,,3.01,16:17,5:24,11.10,253.0,37,,"","",2024-10-15-165704.gpx
612c2da9-e8a0-4ef5-be06-dce7ca840328,2024-10-13 20:39:00,Running,,3.17,17:25,5:30,10.91,266.0,33,,"","",2024-10-13-203900.gpx
0491e7b4-513f-48c4-81be-c8e5e42eb056,2024-10-12 07:52:00,Running,,3.12,15:03,4:50,12.42,260.0,32,,"","",2024-10-12-075200.gpx
40ffe46b-fe00-48bf-9d09-392d4bc63190,2024-10-11 20:15:00,Cycling,,17.54,1:07:19,3:50,15.63,514.0,288,,"","",2024-10-11-201500.gpx
5baeb795-2fc1-45bf-bbf0-8079effb4d77,2024-10-11 09:55:58,Running,,3.01,15:33,5:10,11.62,244.0,27,,"","",2024-10-11-095558.gpx
da57c964-4e3f-4a7c-a7fe-2ae2d0dda5de,2024-10-10 07:50:59,Running,,1.63,9:32,5:51,10.27,145.0,45,,"","",2024-10-10-075059.gpx
d0423d2b-7c82-4833-8d57-267e1de9f289,2024-10-09 08:17:32,Running,,3.04,15:04,4:57,12.12,248.0,33,,"","",2024-10-09-081732.gpx
bf7aa571-ae64-416e-848a-bcf9bb65b92b,2024-10-08 17:29:57,Running,,3.02,15:12,5:02,11.90,249.0,29,,"","",2024-10-08-172957.gpx
fe598df2-9e89-4780-8c2a-664baa87cdb1,2024-10-07 18:13:44,Running,,3.02,12:34,4:09,14.43,245.0,34,,"","",2024-10-07-181344.gpx
b4464959-5b78-4037-8cb2-bbc64c77162c,2024-10-07 08:01:21,Running,,3.01,14:31,4:50,12.43,245.0,28,,"","",2024-10-07-080121.gpx
d4ab3341-caea-4d8c-8d6d-b0b1c8722377,2024-10-06 09:26:44,Running,,3.01,14:49,4:55,12.20,250.0,29,,"","",2024-10-06-092644.gpx
185a403e-ab2e-4839-aa65-41897b6e3534,2024-10-05 17:23:59,Hiking,,4.21,1:17:35,18:25,3.26,422.0,261,,"","",2024-10-05-172359.gpx
3d382990-ee17-4594-9d49-b808842eb728,2024-10-04 07:37:15,Hiking,,3.54,32:41,9:13,6.51,320.0,106,,"","",2024-10-04-073715.gpx
79cfe6ca-b194-46f8-bc64-a815303b686d,2024-10-03 07:30:15,Cycling,,29.38,1:21:04,2:46,21.75,689.0,361,,"","",2024-10-03-073015.gpx
02ccd836-90f8-4b4a-ad05-961645914e11,2024-10-02 07:05:48,Running,,3.02,17:06,5:40,10.58,251.0,28,,"","",2024-10-02-070548.gpx
3d2ffce5-27d2-4781-bb36-124f41cb46a3,2024-10-02 06:54:15,Cycling,,1.40,8:14,5:53,10.20,57.0,47,,"","",2024-10-02-065415.gpx
6d7d9ea8-1455-4322-a888-c7012874710f,2024-10-01 08:53:58,Running,,3.02,16:49,5:34,10.78,253.0,30,,"","",2024-10-01-085358.gpx
59c4f341-3ebb-4812-a298-a1ce48a61bcc,2024-09-30 07:27:19,Running,,3.01,14:55,4:57,12.12,247.0,28,,"","",2024-09-30-072719.gpx
48bfac25-015b-4e76-8fd9-0c6623a30086,2024-09-29 08:39:36,Running,,5.02,27:02,5:23,11.14,418.0,38,,"","",2024-09-29-083936.gpx
832d64a7-4e98-4747-8013-44b2c0144f5e,2024-09-27 06:55:54,Cycling,,25.24,1:15:32,3:00,20.05,695.0,343,,"","",2024-09-27-065554.gpx
91b998fb-3692-4d14-a149-159e4deeaea4,2024-09-26 07:01:35,Running,,3.02,14:14,4:43,12.72,224.0,22,,"","",2024-09-26-070135.gpx
c8d1c577-dcad-4480-b447-86172531692e,2024-09-25 08:37:58,Running,,3.01,15:08,5:02,11.94,249.0,29,,"","",2024-09-25-083758.gpx
7aa85563-1e47-4ef3-be8a-12364d75f886,2024-09-24 07:30:20,Running,,2.52,13:09,5:14,11.48,207.0,19,,"","1교시 가야됨",2024-09-24-073020.gpx
5472445f-197a-4ae2-9ed2-20662f27c4cc,2024-09-23 06:55:20,Running,,4.01,20:58,5:14,11.48,328.0,36,,"","",2024-09-23-065520.gpx
c92ba6c5-e135-4203-9362-a5ff6a62cf11,2024-09-22 09:41:46,Cycling,,25.89,1:14:19,2:52,20.90,677.0,259,,"","",2024-09-22-094146.gpx
e3c604a8-f3ff-44e7-a5d2-1ef36029d56a,2024-09-21 06:56:41,Walking,,3.01,27:14,9:03,6.63,238.0,72,,"","종깅 플 걷기",2024-09-21-065641.gpx
cde42c0a-a961-408e-9143-693c74473151,2024-09-20 06:51:24,Running,,3.02,17:05,5:39,10.60,242.0,20,,"","",2024-09-20-065124.gpx
ee1467e2-006b-43c8-bb8a-3497f66f22d4,2024-09-19 06:46:43,Running,,3.01,18:07,6:01,9.97,244.0,14,,"","",2024-09-19-064643.gpx
23690a6c-d5ff-4e45-a384-736ace06a6dd,2024-09-18 07:18:37,Running,,4.01,22:46,5:40,10.58,337.0,44,,"","",2024-09-18-071837.gpx
a06d0ea7-1ad5-4aa3-81b4-ed89aa466db6,2024-09-17 07:16:00,Walking,,3.97,44:50,11:18,5.31,248.0,116,,"","집가는게 더 오래걸리는거 맞냐",2024-09-17-071600.gpx
2c4409c6-3810-44ee-9608-a639d9d0a3ce,2024-09-17 06:48:13,Running,,4.01,22:30,5:36,10.70,336.0,40,,"","",2024-09-17-064813.gpx
b953f02d-1c41-4564-af99-0b005deffbd3,2024-09-16 07:40:24,Walking,,0.95,13:01,13:40,4.39,71.0,58,,"","",2024-09-16-074024.gpx
e12d1cee-ceda-4307-a97d-a75841746eac,2024-09-16 06:50:39,Running,,4.52,25:14,5:35,10.74,383.0,59,,"","",2024-09-16-065039.gpx
55640da7-4539-489e-8b70-92413f113c22,2024-09-10 21:22:01,Running,,5.04,31:07,6:11,9.71,431.0,77,,"","",2024-09-10-212201.gpx
595fe27c-749d-4f3c-b9f6-d1ab07730e16,2024-09-10 20:54:18,Running,,1.57,11:41,7:27,8.06,131.0,27,,"","",2024-09-10-205418.gpx
44759279-6e69-4aee-a558-8bd33a8bc184,2024-09-08 22:10:49,Cycling,,11.33,43:35,3:51,15.59,319.0,225,,"","",2024-09-08-221049.gpx
7237b569-6739-4b3f-9e15-452e5046df00,2024-09-08 21:44:53,Running,,3.01,16:46,5:34,10.77,260.0,46,,"","",2024-09-08-214453.gpx
1d299319-2e49-462a-a72c-54117a4ea9ff,2024-09-08 21:15:30,Cycling,,6.46,28:02,4:21,13.82,197.0,88,,"","",2024-09-08-211530.gpx
922198fa-9f51-4ebc-b8f4-3bec1d709512,2024-09-04 19:32:59,Cycling,,9.26,53:19,5:45,10.43,343.0,205,,"","",2024-09-04-193259.gpx
afd830c8-fda7-4f97-809f-e05ad8604fe8,2024-09-03 20:23:38,Running,,2.02,10:57,5:26,11.05,176.0,35,,"","",2024-09-03-202338.gpx
cc5423e0-03cf-432d-b366-f7be851836e9,2024-09-03 19:58:00,Running,,2.64,14:12,5:23,11.15,226.0,37,,"","",2024-09-03-195800.gpx
53010b64-6e42-47fe-93e7-fc8ef9af5868,2024-08-28 09:54:34,Hiking,,9.57,3:13:04,20:11,2.97,834.0,254,,"","",2024-08-28-095434.gpx
09553705-c438-426f-9cef-1d3e9f22718e,2024-08-27 13:59:36,Hiking,,3.29,59:15,18:00,3.33,261.0,38,,"","",2024-08-27-135936.gpx
159a29c8-a2a5-4bb8-9479-278ad6ee4962,2024-08-27 09:42:16,Hiking,,4.62,1:06:31,14:23,4.17,344.0,60,,"","",2024-08-27-094216.gpx
e95145a1-2ef5-4e18-aca0-fd68985d7a94,2024-08-26 10:53:08,Hiking,,4.65,1:05:13,14:01,4.28,321.0,28,,"","",2024-08-26-105308.gpx
cc435c64-f3ed-4f45-8c32-4047d82d3bc5,2024-08-13 20:34:48,Cycling,,35.47,1:40:44,2:50,21.13,938.0,453,,"","",2024-08-13-203448.gpx
f642b46f-307b-4f2d-bb93-7089e963e5b3,2024-08-11 19:16:05,Cycling,,42.87,2:10:59,3:03,19.64,1188.0,476,,"","",2024-08-11-191605.gpx
96a46166-29ab-465c-a5b3-0859ba804d11,2024-08-06 19:00:04,Cycling,,35.32,1:51:42,3:10,18.97,1016.0,450,,"","",2024-08-06-190004.gpx
aa438482-c0c5-4541-801e-0def36b6d33b,2024-07-26 22:42:42,Running,,3.01,23:53,7:56,7.56,244.0,78,,"","",2024-07-26-224242.gpx
e57a9ab7-2ce2-4d10-9408-bfb40e7ce8d1,2024-07-22 17:40:23,Running,,1.02,4:54,4:48,12.49,83.0,6,,"","",2024-07-22-174023.gpx
bb29833e-36d3-48d0-a892-14d33d9ed566,2024-07-15 06:26:56,Running,,1.51,8:34,5:40,10.57,134.0,41,,"","",2024-07-15-062656.gpx
